Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
ACVR2A	P27037	"Cancer-related genes, Enzymes, Predicted membrane proteins"				1.7	103.5
ACVR2B	Q13705	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"				1.5	21.2
ACVRL1	P37023	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Receptor		0.0	0.2
ACY1	Q03154	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			19000000	0.0	0.2
ACY3	Q96HD9	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			32000	0.0	0.0
ACYP1	P07311	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			100000	4.4	62.4
ACYP2	P14621	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			9800	1.7	1235.5
ADA	P00813	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			210000	0.2	66.7
ADA2	Q9NZK5	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	39000000	2.3	10.5
ADAD1	Q96M93	"Predicted intracellular proteins"				0.0	0.0
ADAD2	Q8NCV1	"Predicted intracellular proteins"				0.0	0.0
ADAL	Q6DHV7	"Predicted intracellular proteins"				0.0	69.8
ADAM10	O14672	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Intracellular and membrane"	Enzyme	950000	9.8	111.2
ADAM11	O75078	"Predicted membrane proteins, Transporters"			23000	0.0	0.7
ADAM12	O43184	"Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Secreted in female reproductive system"	"Cell adhesion"	14000000	0.0	2.6
ADAM15	Q13444	"Predicted intracellular proteins, Predicted membrane proteins"			360000	0.5	3.9
ADAM17	P78536	"CD markers, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			470000	3.2	118.2
ADAM18	Q9Y3Q7	"Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	"Developmental protein"		0.0	0.4
ADAM19	Q9H013	"Plasma proteins, Predicted membrane proteins"			14000	3.3	34.1
ADAM2	Q99965	"Predicted membrane proteins"				0.0	0.0
ADAM20	O43506	"Predicted membrane proteins"				0.0	0.0
ADAM21	Q9UKJ8	"Predicted membrane proteins"				0.2	33.2
ADAM22	Q9P0K1	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			85000	0.0	14.6
ADAM23	O75077	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in brain"	"Cell adhesion"	25000	0.0	73.5
ADAM28	Q9UKQ2	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Secreted to blood"	Enzyme		0.3	0.2
ADAM29	Q9UKF5	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	"No annotated function"		0.0	0.2
ADAM30	Q9UKF2	"Plasma proteins, Predicted membrane proteins"				0.0	0.0
ADAM32	Q8TC27	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.4
ADAM33	Q9BZ11	"Disease related genes, Human disease related genes, Predicted membrane proteins"				0.0	0.2
ADAM7	Q9H2U9	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	"No annotated function"		0.0	0.6
ADAM8	P78325	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Enzyme		0.4	3.3
ADAM9	Q13443	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted - unknown location"	Enzyme	390000	0.3	32.0
ADAMDEC1	O15204	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	Enzyme	14000000	0.0	0.0
ADAMTS1	Q9UHI8	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Secreted to extracellular matrix"	Enzyme	2300000	0.2	21.4
ADAMTS10	Q9H324	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.3
ADAMTS12	P58397	"Plasma proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.4
ADAMTS13	Q76LX8	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"Blood coagulation"	160000000	0.0	0.1
ADAMTS14	Q8WXS8	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.6
ADAMTS15	Q8TE58	"Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.6
ADAMTS16	Q8TE57	"Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	6.5
ADAMTS17	Q8TE56	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	81.5
ADAMTS18	Q8TE60	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.2
ADAMTS19		"Predicted secreted proteins"	"Secreted to extracellular matrix"			0.0	171.4
ADAMTS2	O95450	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme	6600000	0.6	0.7
ADAMTS20	P59510	"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	0.6
ADAMTS3	O15072	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		4.6	1.6
ADAMTS4	O75173	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Secreted to extracellular matrix"	Enzyme	60000	0.0	0.5
ADAMTS5	Q9UNA0	"Cancer-related genes, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme	9200	0.2	2.0
ADAMTS6	Q9UKP5	"Cancer-related genes, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.3	2.5
ADAMTS7	Q9UKP4	"Plasma proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme		0.0	2.1
ADAMTS8	Q9UP79	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Enzyme	13000000	0.0	1.0
ADAMTS9	Q9P2N4	"Cancer-related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	Transport		0.0	105.6
ADAMTSL1	Q8N6G6	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	Enzyme	6000000	0.2	7.9
ADAMTSL2	Q86TH1	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"	43000000	0.0	0.3
ADAMTSL3	P82987	"Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"	250000	0.0	1.1
ADAMTSL4	Q6UY14	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted to extracellular matrix"	Other	26000000	0.1	85.5
ADAMTSL5		"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"			0.0	18.0
ADAP1	O75689	"Predicted intracellular proteins"				0.2	0.0
ADAP2	Q9NPF8	"Predicted intracellular proteins"				0.6	8.5
ADAR	P55265	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			2400000	2.0	46.3
ADARB1	P78563	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"				0.3	137.1
ADARB2	Q9NS39	"Predicted intracellular proteins"			73000000	0.0	2.0
ADAT1	Q9BUB4	"Enzymes, Predicted intracellular proteins"				1.8	3.4
ADAT2	Q7Z6V5	"Enzymes, Predicted intracellular proteins"				0.0	15.8
ADAT3		"Human disease related genes, Predicted intracellular proteins"				0.0	0.0
ADCK1	Q86TW2	"Enzymes, Predicted intracellular proteins"				4.5	38.9
ADCK2	Q7Z695	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"				0.2	3.1
ADCK5	Q3MIX3	"Enzymes, Predicted membrane proteins"				0.0	0.4
ADCY1	Q08828	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	17.8
ADCY10	Q96PN6	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.2	5.4
ADCY2	Q08462	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	1905.9
ADCY3	O60266	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				2.0	2.1
ADCY4	Q8NFM4	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.0
ADCY5	O95622	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"				0.2	0.8
ADCY6	O43306	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	17.2
ADCY7	P51828	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.3	1.6
ADCY8	P40145	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	12.2
ADCY9	O60503	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.1	588.6
ADCYAP1	P18509	"Predicted secreted proteins"	"Secreted in other tissues"	Hormone		0.0	0.0
ADCYAP1R1	P41586	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.0
ADD1	P35611	"Plasma proteins, Predicted intracellular proteins"			720000	29.7	153.2
ADD2	P35612	"Predicted intracellular proteins"			47000	25.8	0.4
ADD3	Q9UEY8	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			120000	5.9	7.6
ADGB	Q8N7X0	"Enzymes, Predicted intracellular proteins"				0.0	0.3
ADGRA1	Q86SQ6	"G-protein coupled receptors, Predicted membrane proteins"				0.0	0.1
ADGRA2	Q96PE1	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"			73000	0.1	0.7
ADGRA3	Q8IWK6	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	Receptor	390000	1.5	329.2
ADGRB1	O14514	"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted in brain"	Receptor		0.0	0.0
ADGRB2	O60241	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Intracellular and membrane"	Receptor	13000	0.0	0.2
ADGRB3	O60242	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters"				1.6	15.4
ADGRD1	Q6QNK2	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"			170000	0.2	14.8
ADGRD2		"Predicted membrane proteins"				0.0	0.1
ADGRE1	Q14246	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.7	0.2
ADGRE2	Q9UHX3	"CD markers, Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"				1.7	1.1
ADGRE3	Q9BY15	"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Receptor		0.2	0.6
ADGRE5	P48960	"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Secreted to blood"	Receptor	3300000	20.1	32.7
ADGRF1	Q5T601	"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"	"Secreted - unknown location"	Receptor		0.0	0.0
ADGRF3	Q8IZF5	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	6.1
ADGRF4	Q8IZF3	"G-protein coupled receptors, Predicted membrane proteins"				0.0	2.7
ADGRF5	Q8IZF2	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"			37000000	0.0	3.8
ADGRG1	Q9Y653	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Receptor	8300	0.0	0.0
ADGRG2	Q8IZP9	"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"			2200000	1.5	34.3
ADGRG3	Q86Y34	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"			3500000	2.3	0.1
ADGRG4	Q8IZF6	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"				0.0	0.7
ADGRG5	Q8IZF4	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.6
ADGRG6	Q86SQ4	"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"			20000000	0.3	0.1
ADGRG7	Q96K78	"G-protein coupled receptors, Predicted membrane proteins"				0.0	0.2
ADGRL1	O94910	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"			190000	0.0	0.0
ADGRL2	O95490	"G-protein coupled receptors, Predicted membrane proteins, Transporters"			620000	0.2	16.2
ADGRL3	Q9HAR2	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters"			14000	0.0	1.8
ADGRL4	Q9HBW9	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			5700000	0.0	0.8
ADGRV1	Q8WXG9	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	20.0
ADH1A	P07327	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			32000000	0.0	0.1
ADH1B	P00325	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			41000000	0.0	0.7
ADH1C	P00326	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			19000000	0.0	0.1
ADH4	P08319	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			14000000	0.0	1.6
ADH5	P11766	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			5800000	2.1	19.6
ADH6	P28332	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			1300000	0.0	0.7
ADH7	P40394	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.1
ADHFE1	Q8IWW8	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.6
ADI1	Q9BV57	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			96000	1.7	22.7
ADIG	Q0VDE8	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.0
ADIPOQ	Q15848	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"	"Secreted to blood"	Hormone	890000000	0.0	0.3
ADIPOR1	Q96A54	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				383.8	24.9
