gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
PRDX4,-0.0119,0.1492,0.999478,0.884368,0.916858,NS,HR↓ LR↑
HADH,-0.1522,0.0089,0.884601,0.999624,0.90605,NS,HR↓ LR↑
STRAP,0.1283,0.0327,0.915693,0.994441,0.967237,NS,Concordant Up
SOD2,0.0249,-0.136,0.997857,0.913242,0.924096,NS,HR↑ LR↓
CDNF,0.0772,-0.0837,0.98666,0.980002,0.953411,NS,HR↑ LR↓
CALU,0.0825,0.0781,0.961835,0.959874,0.999931,NS,Concordant Up
ATP6V1A,0.0775,-0.0829,0.98139,0.974515,0.937228,NS,HR↑ LR↓
CAMK2D,0.0472,0.1127,0.988864,0.916433,0.983717,NS,Concordant Up
SCARB2,-0.0459,0.1133,0.995774,0.964865,0.957888,NS,HR↓ LR↑
STBD1,0.0461,0.113,0.992479,0.942264,0.987992,NS,Concordant Up
DHRS4,0.0158,0.1425,0.999468,0.932511,0.970418,NS,Concordant Up
MRPL37,0.0096,0.1486,0.999798,0.936312,0.965395,NS,Concordant Up
ISOC2,-0.0595,0.0976,0.986995,0.956771,0.927168,NS,HR↓ LR↑
TPI1,-0.1156,-0.0415,0.886351,0.985243,0.968634,NS,Concordant Down
LDHA,-0.0172,0.1398,0.998992,0.908989,0.928569,NS,HR↓ LR↑
SERPINA3,0.0586,-0.0979,0.993531,0.97831,0.963827,NS,HR↑ LR↓
IGHG3,0.1547,0.0018,0.969947,0.999996,0.978184,NS,Concordant Up
RTRAF,-0.1489,-0.0076,0.942065,0.999844,0.961445,NS,Concordant Down
PSMD3,0.0042,-0.1522,0.999896,0.786937,0.864261,NS,HR↑ LR↓
FH,0.0863,0.0698,0.935002,0.951241,0.998532,NS,Concordant Up
PSMA3,0.1366,0.0186,0.894123,0.9981,0.944092,NS,Concordant Up
MYL3,-0.0704,0.0841,0.991625,0.985955,0.968769,NS,HR↓ LR↑
NAXE,-0.0862,0.0681,0.954365,0.967466,0.886114,NS,HR↓ LR↑
PPA2,-0.0697,0.0845,0.98179,0.967974,0.929538,NS,HR↓ LR↑
CNBP,-0.1333,-0.0206,0.91054,0.997789,0.953615,NS,Concordant Down
PAICS,0.142,-0.0119,0.883846,0.999232,0.900875,NS,HR↑ LR↓
HAGH,-0.1352,0.0182,0.86045,0.997639,0.869377,NS,HR↓ LR↑
TIMM10,0.069,0.083,0.989819,0.98071,0.999688,NS,Concordant Up
ENO1,-0.0633,-0.0884,0.974153,0.937323,0.997236,NS,Concordant Down
HARS1,0.0891,0.0624,0.956995,0.974976,0.99738,NS,Concordant Up
PRDX2,-0.1321,-0.019,0.930342,0.998543,0.96343,NS,Concordant Down
TPM4,0.0071,0.1439,0.999912,0.952601,0.973288,NS,Concordant Up
PCYOX1,-0.0651,-0.0854,0.974472,0.946119,0.998331,NS,Concordant Down
CARS1,-0.0434,0.1071,0.994775,0.947554,0.944008,NS,HR↓ LR↑
LDB3,0.1046,0.0457,0.952389,0.990185,0.989528,NS,Concordant Up
DCXR,-0.0852,-0.0648,0.971266,0.981045,0.998873,NS,Concordant Down
ANXA11,-0.1204,0.0284,0.869567,0.99304,0.853768,NS,HR↓ LR↑
CDV3,0.0068,-0.1418,0.999891,0.936416,0.956696,NS,HR↑ LR↓
CRYZ,0.057,0.0908,0.990105,0.969446,0.997475,NS,Concordant Up
C1QBP,0.0917,0.0554,0.950235,0.979977,0.99478,NS,Concordant Up
RALA,0.0201,0.1268,0.998358,0.904747,0.960758,NS,Concordant Up
MTIF2,0.0999,0.047,0.973236,0.992552,0.994378,NS,Concordant Up
UGP2,-0.0825,0.064,0.955547,0.969523,0.890726,NS,HR↓ LR↑
RAD23B,-0.1105,0.036,0.928943,0.992256,0.90673,NS,HR↓ LR↑
P4HB,-0.1428,0.0034,0.857901,0.99993,0.893014,NS,HR↓ LR↑
GNB1,0.1244,0.0218,0.926065,0.997732,0.964269,NS,Concordant Up
ARL8B,-0.0658,0.0787,0.980513,0.966544,0.92533,NS,HR↓ LR↑
DNAJA2,-0.026,0.1183,0.997029,0.91564,0.921607,NS,HR↓ LR↑
DBT,-0.1117,-0.0326,0.95784,0.996311,0.985142,NS,Concordant Down
VPS4A,0.0773,-0.067,0.978558,0.98042,0.940672,NS,HR↑ LR↓
CANX,-0.1268,0.0173,0.890346,0.998063,0.8967,NS,HR↓ LR↑
CAVIN4,0.1347,0.0092,0.933714,0.999692,0.958325,NS,Concordant Up
NDUFS6,0.0412,-0.1011,0.995518,0.966426,0.957116,NS,HR↑ LR↓
VCL,-0.1026,-0.0393,0.927507,0.988966,0.981247,NS,Concordant Down
FNTA,-0.0148,0.1265,0.999389,0.936921,0.952366,NS,HR↓ LR↑
NIPSNAP3B,0.0453,0.0957,0.994064,0.967187,0.994499,NS,Concordant Up
S100A6,-8e-4,0.1393,0.999999,0.972814,0.98245,NS,HR↓ LR↑
MDP1,-0.0565,-0.0816,0.99138,0.978135,0.998767,NS,Concordant Down
PRKAA1,-0.1215,0.0158,0.935943,0.998913,0.939774,NS,HR↓ LR↑
EIF3E,0.0687,0.0683,0.980399,0.976958,1,NS,Concordant Up
ACTN1,0.0922,0.0444,0.992324,0.99797,0.998476,NS,Concordant Up
JAGN1,-0.123,0.0131,0.949714,0.999412,0.95431,NS,HR↓ LR↑
NDUFB1,0.0884,0.0472,0.973483,0.991601,0.995947,NS,Concordant Up
CARS2,-0.0926,0.0425,0.991455,0.998038,0.98647,NS,HR↓ LR↑
RPS24,-0.0878,0.047,0.982907,0.994507,0.969357,NS,HR↓ LR↑
CRIP1,-0.0367,-0.0978,0.998368,0.986883,0.996638,NS,Concordant Down
HSPA9,0.1137,0.0203,0.905767,0.997108,0.955571,NS,Concordant Up
PCMT1,-0.1091,-0.0248,0.898897,0.994957,0.958424,NS,Concordant Down
MRPS36,0.0063,-0.1269,0.999898,0.945181,0.962178,NS,HR↑ LR↓
BCAP31,-0.0134,-0.1196,0.999662,0.964656,0.982882,NS,Concordant Down
DUSP3,0.0902,-0.0423,0.942923,0.986665,0.906493,NS,HR↑ LR↓
GRHPR,-0.0697,0.0625,0.966964,0.969128,0.906258,NS,HR↓ LR↑
NARS1,0.1084,-0.0237,0.943055,0.997218,0.937212,NS,HR↑ LR↓
GAPDH,-0.0972,0.0348,0.937189,0.991684,0.913075,NS,HR↓ LR↑
PRDX3,0.0566,0.075,0.983919,0.96565,0.998818,NS,Concordant Up
NSF,0.037,-0.0938,0.995219,0.961024,0.951342,NS,HR↑ LR↓
PGAM2,0.0236,0.1067,0.99694,0.913068,0.96897200000000006,NS,Concordant Up
MAT2B,-0.0987,-0.031,0.966252,0.996552,0.988834,NS,Concordant Down
RPS6KA3,0.0942,0.0349,0.940947,0.991554,0.983983,NS,Concordant Up
ALB,-0.081,-0.0475,0.983748,0.993709,0.998004,NS,Concordant Down
RPS16,-0.1209,-0.0073,0.930018,0.99975,0.955515,NS,Concordant Down
TUBB4B,-0.0026,0.1255,0.999967,0.889928,0.930209,NS,HR↓ LR↑
COQ7,-0.0064,0.1204,0.999816,0.90534,0.935716,NS,HR↓ LR↑
CFB,-0.0869,-0.0396,0.98313,0.996079,0.996396,NS,Concordant Down
RRAS,-0.0646,-0.0616,0.986939,0.986169,0.99998,NS,Concordant Down
RPN2,-0.0609,-0.0647,0.986396,0.981903,0.999963,NS,Concordant Down
FUS,-0.0204,0.1052,0.997816,0.919315,0.928454,NS,HR↓ LR↑
SIRT5,0.0637,0.0619,0.983968,0.98228,0.999992,NS,Concordant Up
APRT,-0.0486,-0.0755,0.992537,0.978207,0.998336,NS,Concordant Down
SNX2,0.0894,-0.0344,0.964515,0.994072,0.947468,NS,HR↑ LR↓
AARSD1,0.1209,0.0028,0.960232,0.999977,0.971583,NS,Concordant Up
HNRNPH1,-0.0577,-0.0651,0.986713,0.979974,0.99985,NS,Concordant Down
CCT8,0.1115,-0.0111,0.925257,0.999291,0.934061,NS,HR↑ LR↓
CPT2,0.0907,-0.0315,0.967831,0.995831,0.955995,NS,HR↑ LR↓
PLIN4,-0.0235,-0.098,0.997991,0.954162,0.98392,NS,Concordant Down
MYL6B,-0.0945,0.0261,0.983213,0.998584,0.979415,NS,HR↓ LR↑
ALDOA,0.0387,-0.0816,0.989638,0.939702,0.915963,NS,HR↑ LR↓
COX7A1,0.1166,-0.003,0.959339,0.999973,0.968541,NS,HR↑ LR↓
RARS1,0.1084,0.011,0.946469,0.999452,0.968876,NS,Concordant Up
UBE2M,-0.0175,-0.1016,0.998465,0.928685,0.970841,NS,Concordant Down
HSPA5,-0.0529,0.0659,0.984985,0.971909,0.939461,NS,HR↓ LR↑
RRAS2,0.1166,0.0013,0.970125,0.999996,0.978509,NS,Concordant Up
HSPA8,0.0815,0.0362,0.949713,0.98949,0.989514,NS,Concordant Up
FECH,-0.0762,-0.0411,0.979953,0.993518,0.996979,NS,Concordant Down
ACSL3,-0.0464,0.0688,0.988425,0.968675,0.942353,NS,HR↓ LR↑
PSMC2,-0.0692,-0.046,0.981066,0.990558,0.998511,NS,Concordant Down
NDUFAF3,-0.0702,0.045,0.98362,0.992091,0.965578,NS,HR↓ LR↑
CDH13,0.0095,0.1049,0.999737,0.957975,0.978458,NS,Concordant Up
CCT5,0.0967,0.0176,0.947371,0.998239,0.975047,NS,Concordant Up
LAMA2,-0.097,-0.0164,0.980403,0.999321,0.989583,NS,Concordant Down
AKR1C1,-0.0093,0.1038,0.999829,0.97418,0.98008,NS,HR↓ LR↑
BLVRA,-0.1013,0.0082,0.941667,0.999624,0.950152,NS,HR↓ LR↑
UBXN1,0.0298,-0.0789,0.996911,0.971423,0.966099,NS,HR↑ LR↓
SEPTIN2,-0.0333,0.0745,0.996984,0.982206,0.975321,NS,HR↓ LR↑
HADHB,0.0366,-0.0711,0.990321,0.952888,0.930159,NS,HR↑ LR↓
SDHB,0.0766,0.031,0.96272,0.993511,0.990874,NS,Concordant Up
RCN1,-0.0931,0.014,0.975399,0.999403,0.97562,NS,HR↓ LR↑
ACOT9,-0.049,-0.0578,0.992993,0.988527,0.99984,NS,Concordant Down
AGL,0.0763,0.0301,0.96701,0.994524,0.991562,NS,Concordant Up
PSMB4,-0.0911,-0.0151,0.961483,0.998917,0.980754,NS,Concordant Down
ACADM,0.0963,-0.009,0.953735,0.999597,0.959371,NS,HR↑ LR↓
HSPB2,-0.1002,-0.004,0.946032,0.999915,0.964109,NS,Concordant Down
MYL12B,-0.0277,-0.0763,0.997416,0.97547,0.993924,NS,Concordant Down
COL6A1,-0.016,-0.0879,0.999688,0.987143,0.994875,NS,Concordant Down
ACOT2,-0.0597,0.0441,0.980226,0.987751,0.953556,NS,HR↓ LR↑
THAP4,0.0247,0.0789,0.998714,0.982122,0.995025,NS,Concordant Up
ANXA6,-0.0308,0.0723,0.993257,0.951084,0.936356,NS,HR↓ LR↑
CYB5A,0.0083,-0.0938,0.999861,0.972835,0.981925,NS,HR↑ LR↓
PGK1,-0.029,0.0727,0.99483,0.957538,0.946848,NS,HR↓ LR↑
ACAA2,0.0867,0.015,0.949301,0.998503,0.975454,NS,Concordant Up
OPA3,0.0353,-0.0659,0.997826,0.989035,0.985035,NS,HR↑ LR↓
EML2,0.0657,0.0347,0.98294,0.995016,0.997381,NS,Concordant Up
RPL7,-0.0652,0.0351,0.98778,0.996027,0.977966,NS,HR↓ LR↑
PEPD,0.0809,0.0186,0.978246,0.998805,0.990793,NS,Concordant Up
COX7C,0.0831,0.0162,0.976556,0.999049,0.988981,NS,Concordant Up
ACADVL,0.0734,-0.0258,0.961832,0.995074,0.947464,NS,HR↑ LR↓
QARS1,0.0867,-0.0125,0.960095,0.999159,0.961397,NS,HR↑ LR↓
LMNA,0.015,-0.0838,0.999585,0.984005,0.985715,NS,HR↑ LR↓
ATP5ME,0.0439,-0.0533,0.989533,0.981512,0.959143,NS,HR↑ LR↓
PPM1A,0.0677,0.0295,0.981404,0.995887,0.995684,NS,Concordant Up
UQCRB,0.0411,0.0558,0.991793,0.981722,0.999249,NS,Concordant Up
FKBP3,0.0396,-0.0567,0.991666,0.979246,0.960524,NS,HR↑ LR↓
PSMD13,-0.0624,0.0334,0.984347,0.995011,0.971827,NS,HR↓ LR↑
LAMTOR1,0.0162,-0.0792,0.999429,0.9775,0.982604,NS,HR↑ LR↓
ATP6V1B2,0.093,0.002,0.961004,0.999982,0.972199,NS,Concordant Up
DDB1,-0.0783,-0.0164,0.960625,0.998244,0.982589,NS,Concordant Down
MEMO1,-0.0721,-0.0222,0.991252,0.999156,0.997046,NS,Concordant Down
VAMP2,0.0219,-0.0713,0.998589,0.981883,0.979809,NS,HR↑ LR↓
NDUFS2,-0.0045,-0.0886,0.99992,0.957756,0.976525,NS,Concordant Down
CAP1,-0.0888,-0.0038,0.980698,0.999962,0.986949,NS,Concordant Down
PACSIN3,-0.0868,0.0052,0.964154,0.99987,0.97042,NS,HR↓ LR↑
STAC3,-0.0467,-0.0452,0.993794,0.993055,0.999996,NS,Concordant Down
UBAC1,-0.0704,0.0203,0.975361,0.997838,0.969328,NS,HR↓ LR↑
EIF2S1,-0.0439,0.0454,0.990512,0.988068,0.969132,NS,HR↓ LR↑
TUBA1B,-0.047,0.0422,0.991129,0.991706,0.975157,NS,HR↓ LR↑
CAPN1,-0.0714,0.0176,0.963084,0.997722,0.957276,NS,HR↓ LR↑
HSPB7,-0.0776,0.01,0.977184,0.999599,0.978376,NS,HR↓ LR↑
PLPBP,-0.076,0.0111,0.973301,0.999412,0.973991,NS,HR↓ LR↑
ECI1,-0.0756,0.0106,0.961695,0.999252,0.963313,NS,HR↓ LR↑
ACOT1,-0.0476,-0.0373,0.996832,0.997036,0.99988,NS,Concordant Down
PEBP1,0.0609,-0.0236,0.977242,0.996341,0.96683,NS,HR↑ LR↓
BCL2L13,-0.0022,-0.0823,0.999977,0.958136,0.975598,NS,Concordant Down
PSMD4,-0.0028,-0.0807,0.999962,0.956733,0.97526,NS,Concordant Down
RPL13,0.0561,0.0265,0.993123,0.99813,0.998553,NS,Concordant Up
NT5C3A,-0.0447,-0.0373,0.990387,0.992294,0.999815,NS,Concordant Down
ADSS1,-0.0732,0.0063,0.97538,0.999814,0.978564,NS,HR↓ LR↑
RAN,-0.041,0.0383,0.990465,0.990291,0.972011,NS,HR↓ LR↑
PTGES2,-0.072,0.007,0.980493,0.999806,0.982573,NS,HR↓ LR↑
PPP2R2A,-0.0557,0.0228,0.981189,0.996604,0.971673,NS,HR↓ LR↑
KLHL41,0.0616,0.0158,0.987053,0.99907,0.994791,NS,Concordant Up
PPP1CA,-0.0508,-0.0257,0.984619,0.995668,0.997359,NS,Concordant Down
PDXK,-0.0343,-0.0399,0.996237,0.993707,0.999924,NS,Concordant Down
AHCYL1,-0.0597,-0.0144,0.985962,0.999119,0.994125,NS,Concordant Down
PDCD6IP,0.0615,-0.012,0.980638,0.99922,0.979345,NS,HR↑ LR↓
ARF1,-0.036,-0.0371,0.995088,0.993905,0.999997,NS,Concordant Down
DYNLRB1,-0.0164,-0.0563,0.998807,0.982938,0.994635,NS,Concordant Down
ERLIN2,0.0547,-0.0179,0.989716,0.998781,0.986306,NS,HR↑ LR↓
CHMP4B,-0.0316,-0.0407,0.997016,0.994185,0.999821,NS,Concordant Down
THOP1,-0.0193,0.0529,0.999402,0.993316,0.992959,NS,HR↓ LR↑
ELOC,0.045,0.0256,0.992456,0.997344,0.999002,NS,Concordant Up
LYPLA1,-0.0278,0.0426,0.996641,0.990556,0.983029,NS,HR↓ LR↑
UCHL1,0.0271,-0.0407,0.998693,0.996534,0.993694,NS,HR↑ LR↓
SRPRB,0.0218,0.0457,0.99848,0.991507,0.998588,NS,Concordant Up
EEF1D,0.0403,0.0258,0.988805,0.994853,0.998987,NS,Concordant Up
PSMD11,0.0283,-0.0344,0.994786,0.990819,0.979725,NS,HR↑ LR↓
CHCHD3,0.0607,0.0015,0.985825,0.999991,0.990047,NS,Concordant Up
ACAT1,0.0048,0.0567,0.999892,0.980641,0.989932,NS,Concordant Up
PANK4,0.0038,0.0552,0.999946,0.98512,0.991883,NS,Concordant Up
RAB14,0.0032,-0.0555,0.999973,0.989381,0.992479,NS,HR↑ LR↓
PKM,0.0155,0.0431,0.998668,0.987,0.996729,NS,Concordant Up
STIP1,0.0177,0.0409,0.99825,0.988377,0.997713,NS,Concordant Up
PSMA6,-0.0565,-0.0018,0.981414,0.999981,0.987256,NS,Concordant Down
TRAPPC3,0.0064,0.0475,0.999909,0.992757,0.996893,NS,Concordant Up
PPP1R7,0.045,0.0074,0.989089,0.999683,0.994455,NS,Concordant Up
UCHL3,-0.0279,0.0221,0.996045,0.997142,0.990196,NS,HR↓ LR↑
DYNC1I2,-0.0277,0.0223,0.996841,0.997641,0.992084,NS,HR↓ LR↑
AGO2,-5e-4,-0.0474,1,0.994755,0.997644,NS,Concordant Down
MAP4,0.0245,0.0232,0.997356,0.997253,0.999995,NS,Concordant Up
CAND1,0.0119,-0.0353,0.999594,0.995686,0.994997,NS,HR↑ LR↓
MAPRE3,0.0064,0.0405,0.999868,0.99329,0.997071,NS,Concordant Up
RPL11,-0.0147,0.0303,0.999557,0.997834,0.996839,NS,HR↓ LR↑
CACYBP,0.0348,0.009,0.995942,0.999681,0.998313,NS,Concordant Up
NAXD,0.0266,-0.0167,0.997263,0.998773,0.994472,NS,HR↑ LR↓
RPS26,-0.0183,0.0239,0.999218,0.998359,0.996741,NS,HR↓ LR↑
DYNLL2,-0.0293,-0.0114,0.995999,0.999328,0.998902,NS,Concordant Down
EEF1G,-0.0179,-0.0215,0.998384,0.99727,0.999953,NS,Concordant Down
DCN,-0.0259,0.0117,0.998021,0.999544,0.996843,NS,HR↓ LR↑
CPT1B,-0.0323,-0.0052,0.996231,0.99989,0.998039,NS,Concordant Down
CUL1,-0.0213,0.0135,0.998445,0.999258,0.996787,NS,HR↓ LR↑
ARL3,-0.0245,0.009,0.998719,0.999787,0.998129,NS,HR↓ LR↑
PSME1,-0.0267,0.0057,0.997432,0.999868,0.997149,NS,HR↓ LR↑
DLD,-0.0036,0.0281,0.999921,0.993982,0.9951,NS,HR↓ LR↑
PSMD8,0.0262,0.0053,0.997118,0.999865,0.998608,NS,Concordant Up
SOD1,0.0201,0.0104,0.998609,0.999577,0.999759,NS,Concordant Up
CZIB,0.0141,0.0138,0.999642,0.999604,1,NS,Concordant Up
COPS7A,-0.0125,0.014,0.998988,0.998517,0.996486,NS,HR↓ LR↑
GSR,0.0145,0.0071,0.999025,0.999737,0.99981,NS,Concordant Up
PFN2,-0.0193,5e-4,0.99876,0.999999,0.999023,NS,HR↓ LR↑
ETHE1,0.0081,0.0115,0.999798,0.999453,0.999972,NS,Concordant Up
ATP5PB,0.0134,0.0062,0.998729,0.999689,0.999732,NS,Concordant Up
HSPA1A,0.0021,0.0153,0.999976,0.998438,0.999254,NS,Concordant Up
AP1G1,-0.0127,-0.0043,0.999718,0.999952,0.999899,NS,Concordant Down
MPI,-0.001,0.0108,0.999994,0.999236,0.999405,NS,HR↓ LR↑
AHCYL2,-1e-4,-0.0092,1,0.999682,0.999809,NS,Concordant Down
APOL1,-1.5011,-2.0753,0.021610999999999998,0.004002,0.796762,Sig Both,Concordant Down
C1QC,-1.6478,-1.2572,0.01784,0.005672,0.875258,Sig Both,Concordant Down
OXSM,0.7962,0.6922,0.041901,0.049513,0.977679,Sig Both,Concordant Up
