"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"wgcna","green","d_1rm_legpress","baseline",15,-0.1297353727997,0.0168312669554772,0.644921856633288,0.998961668261752
"wgcna","green","d_1rm_legpress","tracks",16,-0.0116451045341162,0.381271030565424,0.925000284550936,0.998961668261752
"wgcna","green","d_fcsa_I","acute",15,-0.418547790659768,0.175182253066173,0.120495470880959,0.592213702791083
"wgcna","green","d_fcsa_I","baseline",15,-0.0252965995229679,0.000639917947425415,0.928694852996,0.998961668261752
"wgcna","green","d_fcsa_I","tracks",16,-0.00389999479937138,0.381150849494305,0.974832424657755,0.998961668261752
"wgcna","green","d_fcsa_II","acute",15,-0.428561247950523,0.183664743244909,0.110969624629686,0.592213702791083
"wgcna","green","d_fcsa_II","baseline",15,-0.0729087917063316,0.00531569190807723,0.796236970785156,0.998961668261752
"wgcna","green","d_fcsa_II","tracks",16,-0.00581935181216682,0.381169493402378,0.96245792150788,0.998961668261752
"wgcna","green","d_mcsa","acute",15,-0.326067187059742,0.106319810477053,0.235598992761497,0.742136827198717
"wgcna","green","d_mcsa","baseline",15,0.647279027888791,0.418970139944659,0.00909277117177974,0.343706750293274
"wgcna","green","d_mcsa","tracks",16,0.00133910705712045,0.381137435482175,0.99135651622267,0.998961668261752
"wgcna","green","d_myovision_fcsa_I","acute",15,0.352219498646744,0.124058575226963,0.197907519855262,0.656219671099026
"wgcna","green","d_myovision_fcsa_I","baseline",15,-0.205495621838008,0.0422284505945896,0.46250227329037,0.998961668261752
"wgcna","green","d_myovision_fcsa_I","tracks",16,0.00968501007132633,0.381229336271932,0.937581267770728,0.998961668261752
"wgcna","turquoise","comp_hypertrophy","acute",15,-0.462365842061423,0.213782171905169,0.0826852360479848,0.585796459092599
"wgcna","turquoise","comp_hypertrophy","baseline",15,0.195408100277314,0.0381843256539886,0.485220840409357,0.998961668261752
"wgcna","turquoise","comp_hypertrophy","tracks",16,0.00477616371254186,0.43949280732975,0.96762184713707,0.998961668261752
"wgcna","turquoise","d_1rm_ext","acute",14,-0.402388155164512,0.1619162274167,0.153761277984701,0.61831662849167
"wgcna","turquoise","d_1rm_ext","baseline",14,0.0259807478364408,0.000674999258140722,0.92974836159694,0.998961668261752
"wgcna","turquoise","d_1rm_ext","tracks",15,-0.0163458362164907,0.401699153360633,0.897372069285597,0.998961668261752
"wgcna","turquoise","d_1rm_legpress","acute",15,0.409623486664384,0.167791400827087,0.129446297807328,0.611633757139624
"wgcna","turquoise","d_1rm_legpress","baseline",15,-0.0395510266922945,0.00156428371241459,0.888703575247773,0.998961668261752
"wgcna","turquoise","d_1rm_legpress","tracks",16,0.00911803238213825,0.439553009288165,0.938267332891976,0.998961668261752
"wgcna","turquoise","d_fcsa_I","acute",15,-0.457005864046339,0.208854359772741,0.0867846606063109,0.585796459092599
"wgcna","turquoise","d_fcsa_I","baseline",15,0.367508359455367,0.135062394269575,0.177784924974169,0.633987751322981
"wgcna","turquoise","d_fcsa_I","tracks",16,0.00305366763919167,0.439479328960587,0.979292873580387,0.998961668261752
"wgcna","turquoise","d_fcsa_II","acute",15,-0.436601933795101,0.190621248593622,0.103708506620257,0.592213702791083
"wgcna","turquoise","d_fcsa_II","baseline",15,0.490262914302928,0.2403577251408,0.0635502773210018,0.585796459092599
"wgcna","turquoise","d_fcsa_II","tracks",16,0.0045565102581033,0.439490759123767,0.969109549530515,0.998961668261752
"wgcna","turquoise","d_mcsa","acute",15,0.0354039320111199,0.00125343840184799,0.900316760241324,0.998961668261752
"wgcna","turquoise","d_mcsa","baseline",15,-0.397438526717105,0.157957382519063,0.14238447399909,0.61831662849167
"wgcna","turquoise","d_mcsa","tracks",16,-0.00104851111247632,0.439471105129673,0.992888724402314,0.998961668261752
"wgcna","turquoise","d_myovision_fcsa_I","acute",15,0.507372697670772,0.257427054341717,0.053537354589627,0.585796459092599
"wgcna","turquoise","d_myovision_fcsa_I","baseline",15,-0.15435498653044,0.0238254618668123,0.582826175160936,0.998961668261752
"wgcna","turquoise","d_myovision_fcsa_I","tracks",16,-0.00758329263537033,0.439527447449066,0.948630066501064,0.998961668261752
"wgcna","yellow","comp_hypertrophy","acute",15,-0.656299433681145,0.430728946650191,0.00787704509976445,0.343706750293274
"wgcna","yellow","comp_hypertrophy","baseline",15,-0.00117726574651586,1.38595463791957e-06,0.996677679665985,0.998961668261752
"wgcna","yellow","comp_hypertrophy","tracks",16,0.00345067135779509,0.0849751013951244,0.981688044825592,0.998961668261752
"wgcna","yellow","d_1rm_ext","acute",14,0.0314829499352604,0.000991176136626113,0.914915292200137,0.998961668261752
"wgcna","yellow","d_1rm_ext","baseline",14,0.447986856981904,0.200692224028525,0.108179868829748,0.592213702791083
"wgcna","yellow","d_1rm_ext","tracks",15,-0.00611949072832024,0.0473340392170737,0.9694716131442,0.998961668261752
"wgcna","yellow","d_1rm_legpress","acute",15,-0.05460755462608,0.00298198502224031,0.8467326581304,0.998961668261752
"wgcna","yellow","d_1rm_legpress","baseline",15,-0.0940928484315425,0.00885346412596125,0.738722086233112,0.998961668261752
"wgcna","yellow","d_1rm_legpress","tracks",16,0.00658757426967479,0.0850065252462136,0.965069579585967,0.998961668261752
"wgcna","yellow","d_fcsa_I","acute",15,-0.37855339553058,0.143302673267732,0.164112562017275,0.620345484425301
"wgcna","yellow","d_fcsa_I","baseline",15,-0.14997647811132,0.0224929439866753,0.593688774887024,0.998961668261752
"wgcna","yellow","d_fcsa_I","tracks",16,0.00220620650651373,0.0849680660381916,0.988290015625213,0.998961668261752
"wgcna","yellow","d_fcsa_II","acute",15,-0.418721748713223,0.17532790284546,0.120325344860127,0.592213702791083
"wgcna","yellow","d_fcsa_II","baseline",15,-0.0862254566595383,0.00743482937614593,0.759949237734561,0.998961668261752
"wgcna","yellow","d_fcsa_II","tracks",16,0.00329197665437021,0.0849740322850575,0.982529719667235,0.998961668261752
"wgcna","yellow","d_mcsa","acute",15,-0.508312842426633,0.258381945775844,0.0530229640975751,0.585796459092599
"wgcna","yellow","d_mcsa","baseline",15,0.11846339789469,0.0140335766407558,0.674127953456646,0.998961668261752
"wgcna","yellow","d_mcsa","tracks",16,-0.000757525805627597,0.0849637734130874,0.995978798659098,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","acute",15,0.0131799655134625,0.00017371149093606,0.962817030207228,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","baseline",15,-0.0814606295574224,0.0066358341678916,0.772884061459435,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","tracks",16,-0.00547875916102642,0.0849931826333393,0.970939018956466,0.998961668261752
