gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
CACNA1S,-0.1247,0.0669,0.924439,0.976299,0.864946,NS,HR↓ LR↑
ISYNA1,0.1616,-0.0296,0.95365,0.998052,0.948372,NS,HR↑ LR↓
DCAF6,-0.0333,0.1572,0.996064,0.876021,0.88899,NS,HR↓ LR↑
COX4I1,-0.0811,0.1083,0.977313,0.950895,0.901864,NS,HR↓ LR↑
ARL8B,-0.0245,-0.1645,0.997475,0.83904,0.930309,NS,Concordant Down
CZIB,-0.0044,0.1832,0.999965,0.920578,0.94773,NS,HR↓ LR↑
HSPB8,0.1396,0.0478,0.924626,0.990663,0.977198,NS,Concordant Up
NME2,0.0157,-0.1716,0.999005,0.828226,0.874339,NS,HR↑ LR↓
CARS2,0.0305,0.1559,0.998684,0.972301,0.986086,NS,Concordant Up
MMAB,-0.0967,0.0884,0.978051,0.976472,0.935254,NS,HR↓ LR↑
SERPINB1,-0.0747,0.11,0.981089,0.949854,0.907919,NS,HR↓ LR↑
CYCS,0.1434,-0.0411,0.912841,0.992625,0.892826,NS,HR↑ LR↓
RAB18,0.128,0.056,0.943296,0.988087,0.987385,NS,Concordant Up
PRDX1,0.1306,0.0529,0.893137,0.981691,0.974464,NS,Concordant Up
FKBP2,-0.0834,0.0994,0.984938,0.974716,0.943654,NS,HR↓ LR↑
ILK,-0.0695,-0.113,0.983623,0.943823,0.995312,NS,Concordant Down
C11orf54,-0.1664,-0.0159,0.88236,0.998957,0.930983,NS,Concordant Down
UQCRFS1,-0.1563,-0.0256,0.865742,0.99651,0.933734,NS,Concordant Down
APRT,0.1617,0.0199,0.90796,0.998609,0.949074,NS,Concordant Up
NDUFV2,-0.1484,0.0329,0.899811,0.995033,0.889583,NS,HR↓ LR↑
PPP1R7,0.0378,0.1433,0.992389,0.847451,0.951912,NS,Concordant Up
ACTR1B,0.0968,0.0838,0.965776,0.967496,0.999567,NS,Concordant Up
GPD2,-0.137,0.0433,0.899663,0.989715,0.870836,NS,HR↓ LR↑
SNX2,0.1421,-0.038,0.899752,0.99272,0.880748,NS,HR↑ LR↓
GRB2,-0.0376,-0.1424,0.992537,0.850253,0.952747,NS,Concordant Down
TBCA,0.0414,0.1383,0.993174,0.897912,0.970388,NS,Concordant Up
CPPED1,0.1665,-0.0128,0.903441,0.999439,0.918041,NS,HR↑ LR↓
EEF1D,0.0893,-0.0887,0.938725,0.928364,0.808732,NS,HR↑ LR↓
MYOT,0.0983,0.0795,0.98472,0.988485,0.9996,NS,Concordant Up
HK1,-0.0609,-0.1165,0.976321,0.886467,0.985677,NS,Concordant Down
PITRM1,0.1035,-0.0735,0.966753,0.979253,0.922571,NS,HR↑ LR↓
NIT1,-0.1292,0.0476,0.93083,0.990054,0.902864,NS,HR↓ LR↑
DYNLRB1,0.1375,-0.0391,0.899842,0.991752,0.87746,NS,HR↑ LR↓
NDUFA4,-0.1145,0.0611,0.95642,0.986271,0.922039,NS,HR↓ LR↑
PLIN3,-0.0334,-0.1419,0.994896,0.872025,0.955853,NS,Concordant Down
MTHFD1,0.099,-0.0758,0.934594,0.956373,0.842253,NS,HR↑ LR↓
CAST,-0.121,0.0535,0.945955,0.988584,0.915166,NS,HR↓ LR↑
MYOZ3,-0.1295,0.0449,0.977293,0.996942,0.968862,NS,HR↓ LR↑
GFM1,0.0236,-0.1505,0.998587,0.910094,0.931795,NS,HR↑ LR↓
S100A10,-0.1702,0.0035,0.921828,0.999967,0.94036,NS,HR↓ LR↑
MSRB2,0.1725,0.0012,0.90214,0.999996,0.930324,NS,Concordant Up
DNPEP,-0.0904,-0.083,0.954643,0.955344,0.999804,NS,Concordant Down
CCT8,0.029,0.1441,0.995641,0.846151,0.942235,NS,Concordant Up
MTCH2,-0.0163,-0.1564,0.999039,0.875226,0.939389,NS,Concordant Down
MT-CYB,-0.1698,-0.0025,0.932652,0.999985,0.951916,NS,Concordant Down
MYOM3,-0.027,0.1453,0.998707,0.95249,0.957466,NS,HR↓ LR↑
TPD52L2,0.1422,0.0301,0.922923,0.996135,0.964547,NS,Concordant Up
PRKAR2A,-0.0717,-0.1002,0.968948,0.924483,0.996662,NS,Concordant Down
UGP2,0.0547,-0.1172,0.981482,0.887463,0.846839,NS,HR↑ LR↓
ISOC1,-0.1383,-0.0333,0.941374,0.996438,0.975797,NS,Concordant Down
PCBP1,0.098,0.0732,0.952017,0.969586,0.997966,NS,Concordant Up
CASQ1,0.1297,0.0414,0.888741,0.988527,0.964726,NS,Concordant Up
MGST2,0.0693,0.1013,0.98816,0.970589,0.998199,NS,Concordant Up
RAB2A,0.0606,0.1096,0.981639,0.92351,0.991343,NS,Concordant Up
SARS2,-0.0285,-0.1415,0.998599,0.95405,0.982353,NS,Concordant Down
RPS6,0.0711,0.0983,0.982845,0.960252,0.998226,NS,Concordant Up
NDUFA2,-0.137,0.0303,0.917258,0.995888,0.90867,NS,HR↓ LR↑
DYNLL2,-0.0812,-0.0855,0.966329,0.955636,0.999938,NS,Concordant Down
RNF126,0.0821,-0.0841,0.975055,0.967721,0.91834,NS,HR↑ LR↓
PSMD2,-0.1001,0.0656,0.947106,0.974621,0.888583,NS,HR↓ LR↑
CCT7,0.1525,-0.0128,0.877378,0.999175,0.895166,NS,HR↑ LR↓
ATP1A2,-0.1099,-0.0548,0.925492,0.980157,0.987432,NS,Concordant Down
FH,-0.1543,0.0095,0.773074,0.999252,0.816199,NS,HR↓ LR↑
LAMP2,0.0117,-0.1519,0.999659,0.921905,0.943833,NS,HR↑ LR↓
YBX3,0.147,-0.0166,0.889386,0.998641,0.899974,NS,HR↑ LR↓
SCRN2,0.1414,-0.0222,0.948914,0.998687,0.949264,NS,HR↑ LR↓
PARVB,-0.0372,-0.1261,0.997391,0.960618,0.988217,NS,Concordant Down
AOC3,0.0945,-0.0683,0.983691,0.989646,0.961992,NS,HR↑ LR↓
EIF4E,0.0579,-0.104,0.983371,0.931882,0.893638,NS,HR↑ LR↓
JAGN1,0.05,0.1115,0.992301,0.952799,0.991303,NS,Concordant Up
GSTM3,-0.0783,-0.083,0.982644,0.977007,0.999955,NS,Concordant Down
TXNRD1,0.1422,-0.0177,0.87532,0.998161,0.885094,NS,HR↑ LR↓
DPP3,0.1157,-0.0436,0.937807,0.990651,0.911374,NS,HR↑ LR↓
SLC25A3,-0.0384,-0.1205,0.993983,0.921586,0.978482,NS,Concordant Down
HSPA1A,-0.0784,-0.0799,0.959195,0.949686,0.999991,NS,Concordant Down
USO1,-0.1508,0.0071,0.883604,0.999754,0.907405,NS,HR↓ LR↑
FLNB,-0.0144,-0.1435,0.999168,0.883035,0.942899,NS,Concordant Down
SLC25A20,-0.014,-0.1437,0.999345,0.905229,0.952999,NS,Concordant Down
ITGB1,0.0364,-0.1213,0.994753,0.922773,0.917597,NS,HR↑ LR↓
ERO1A,-0.0436,-0.1137,0.99635,0.971875,0.993087,NS,Concordant Down
SYPL2,0.1308,-0.0262,0.92305,0.996873,0.91801,NS,HR↑ LR↓
RPS17,0.1555,0.0013,0.94467,0.999996,0.960037,NS,Concordant Up
MTAP,0.0963,0.0601,0.972177,0.98719,0.997193,NS,Concordant Up
PSMA6,-0.1128,0.0432,0.918604,0.987625,0.88332599999999994,NS,HR↓ LR↑
ABHD10,-0.0658,-0.0895,0.985132,0.966725,0.998628,NS,Concordant Down
ALDH6A1,-0.093,-0.0609,0.972924,0.986219,0.997709,NS,Concordant Down
RHOA,0.0545,-0.0982,0.985285,0.939382,0.90542,NS,HR↑ LR↓
RIDA,-0.1199,-0.0324,0.899448,0.99269,0.963131,NS,Concordant Down
ATP6V1B2,0.0848,0.0672,0.966255,0.975734,0.999026,NS,Concordant Up
COX7C,-0.0082,-0.1435,0.999793,0.91262,0.952339,NS,Concordant Down
SOD2,0.0373,0.1142,0.995077,0.940121,0.983759,NS,Concordant Up
IPO5,0.0612,0.0891,0.98157,0.951767,0.997313,NS,Concordant Up
UBE2I,-0.1349,0.015,0.939559,0.999237,0.944954,NS,HR↓ LR↑
ALDH4A1,-0.1274,-0.0223,0.89087,0.996769,0.948033,NS,Concordant Down
STRAP,0.1187,0.0309,0.928659,0.995057,0.972641,NS,Concordant Up
SLC35A4,0.0753,0.0741,0.987278,0.982714,0.999998,NS,Concordant Up
BAG3,0.1048,0.0445,0.966994,0.993472,0.992251,NS,Concordant Up
AHCYL1,0.0991,0.0499,0.959256,0.988698,0.993034,NS,Concordant Up
CCT5,0.0894,0.0596,0.955431,0.977894,0.99668,NS,Concordant Up
CHMP1B,0.0133,-0.1357,0.999664,0.957255,0.966389,NS,HR↑ LR↓
VPS4B,0.0478,0.1008,0.989751,0.941752,0.99064,NS,Concordant Up
CYB5A,0.0649,-0.0826,0.990472,0.979165,0.959549,NS,HR↑ LR↓
GDI1,-0.0257,-0.1206,0.99595,0.872011,0.953833,NS,Concordant Down
OPA3,0.0341,-0.1107,0.997296,0.964797,0.961004,NS,HR↑ LR↓
ACADVL,-0.0979,0.0448,0.928872,0.984272,0.885587,NS,HR↓ LR↑
UBQLN1,-0.1112,-0.0314,0.95418,0.996267,0.983486,NS,Concordant Down
EIF3I,0.095,-0.046,0.963025,0.990077,0.936803,NS,HR↑ LR↓
ST13,-0.0753,0.0654,0.962422,0.967191,0.896871,NS,HR↓ LR↑
PDIA6,0.0266,0.1139,0.997485,0.938957,0.978344,NS,Concordant Up
ALDH9A1,-0.0749,-0.0653,0.965207,0.969331,0.99963,NS,Concordant Down
SDHC,0.0193,-0.1201,0.999117,0.955683,0.962193,NS,HR↑ LR↓
PSMB4,-0.1152,0.0231,0.936524,0.997409,0.932242,NS,HR↓ LR↑
UQCRB,-0.1217,0.0165,0.918387,0.998533,0.922832,NS,HR↓ LR↑
PTPA,0.0753,0.0625,0.987302,0.989907,0.99974,NS,Concordant Up
EPHX1,-0.0524,-0.0849,0.991454,0.972682,0.997602,NS,Concordant Down
RPS15A,0.1273,-0.009,0.922858,0.999628,0.935482,NS,HR↑ LR↓
PDCD6IP,0.0633,0.0718,0.97942,0.968324,0.999748,NS,Concordant Up
ATP2A2,0.0907,-0.0433,0.955675,0.989105,0.926462,NS,HR↑ LR↓
TNS1,0.0831,-0.0507,0.981521,0.991601,0.962126,NS,HR↑ LR↓
PSMC2,0.0368,0.0954,0.994905,0.956158,0.990098,NS,Concordant Up
COMT,0.1093,-0.0223,0.94715,0.997756,0.943188,NS,HR↑ LR↓
CUL4B,-0.108,-0.0226,0.976999,0.998838,0.989193,NS,Concordant Down
CAPN3,-0.1205,0.0087,0.960941,0.99979,0.966823,NS,HR↓ LR↑
NACA,-0.0232,-0.1059,0.997414,0.925982,0.973137,NS,Concordant Down
NDUFB11,0.0981,-0.031,0.968735,0.996647,0.95931,NS,HR↑ LR↓
PREP,-0.1124,-0.0164,0.899456,0.997991,0.948626,NS,Concordant Down
PRMT1,-0.06,0.0687,0.987562,0.980676,0.955028,NS,HR↓ LR↑
UGGT1,-0.0169,0.1118,0.999152,0.94322,0.956878,NS,HR↓ LR↑
BCKDHA,-0.0692,-0.0586,0.988903,0.988642,0.999801,NS,Concordant Down
RYR1,-0.066,-0.0607,0.973682,0.974036,0.999889,NS,Concordant Down
PRDX3,-0.119,0.0055,0.921894,0.999843,0.937946,NS,HR↓ LR↑
TIMM44,0.1055,0.0171,0.973965,0.999267,0.986626,NS,Concordant Up
KPNA3,0.0104,-0.1118,0.999625,0.941523,0.95641,NS,HR↑ LR↓
EEA1,0.0377,-0.0833,0.995659,0.974326,0.964522,NS,HR↑ LR↓
HAGH,-0.0326,0.0865,0.993255,0.93665,0.923756,NS,HR↓ LR↑
HEBP2,-0.0542,-0.0646,0.985633,0.97556,0.999635,NS,Concordant Down
COPS8,0.0262,-0.092,0.997539,0.96089,0.958875,NS,HR↑ LR↓
PPP3CA,-0.008,-0.1095,0.999705,0.92075,0.958777,NS,Concordant Down
FLNC,0.109,0.0077,0.932074,0.999671,0.957974,NS,Concordant Up
CARS1,-0.1124,0.0038,0.956667,0.999951,0.966081,NS,HR↓ LR↑
TRMT10C,0.015,-0.1008,0.999419,0.961953,0.970389,NS,HR↑ LR↓
PSMA4,-0.0179,-0.0976,0.998441,0.93625,0.974534,NS,Concordant Down
ECH1,-0.0573,-0.0574,0.980174,0.97659,1,NS,Concordant Down
MT-CO1,-0.0657,0.0482,0.992379,0.995237,0.982391,NS,HR↓ LR↑
PCBP2,0.0914,-0.0223,0.949104,0.996908,0.941363,NS,HR↑ LR↓
NUDT3,0.0661,0.0465,0.985837,0.991638,0.999099,NS,Concordant Up
PSMD11,-0.0844,-0.0271,0.947359,0.994433,0.983283,NS,Concordant Down
AP2M1,0.0556,0.0552,0.98909,0.987705,0.999999,NS,Concordant Up
CAND2,-0.0517,0.0588,0.990629,0.985675,0.966429,NS,HR↓ LR↑
DCTN2,-0.0478,-0.0622,0.98834,0.976202,0.999266,NS,Concordant Down
TMX3,-0.0495,0.0603,0.992228,0.986487,0.970192,NS,HR↓ LR↑
FABP4,0.0755,-0.0339,0.972645,0.994015,0.956376,NS,HR↑ LR↓
PARK7,0.0675,-0.0398,0.976532,0.99092,0.954408,NS,HR↑ LR↓
FKBP1A,-0.0456,-0.0603,0.989143,0.976986,0.999201,NS,Concordant Down
RASA4,0.0863,0.0195,0.983898,0.999093,0.992888,NS,Concordant Up
CUL5,0.015,-0.0905,0.999002,0.951333,0.958515,NS,HR↑ LR↓
COPS2,-0.0928,0.0118,0.958723,0.999321,0.96128,NS,HR↓ LR↑
TRIP10,0.0374,-0.0669,0.994618,0.978862,0.9665,NS,HR↑ LR↓
VCL,-6e-4,-0.1028,0.999998,0.913595,0.948343,NS,Concordant Down
RAD23A,-0.0805,0.0225,0.973088,0.997757,0.966926,NS,HR↓ LR↑
EPDR1,-0.0207,-0.0817,0.998775,0.976038,0.991733,NS,Concordant Down
CUL2,0.0737,0.0285,0.971928,0.99545,0.992517,NS,Concordant Up
VAMP3,-0.0705,-0.0313,0.985812,0.996717,0.996756,NS,Concordant Down
GALM,0.0872,-0.0137,0.985964,0.999629,0.986094,NS,HR↑ LR↓
MDP1,-0.0146,-0.0843,0.999455,0.974567,0.989752,NS,Concordant Down
NPEPPS,-0.0932,0.0052,0.924668,0.999786,0.939395,NS,HR↓ LR↑
TXNL1,0.0564,-0.0416,0.981944,0.988816,0.957593,NS,HR↑ LR↓
AGO2,0.0024,0.095,0.999989,0.97603,0.985962,NS,Concordant Up
AK1,-0.0042,-0.0931,0.999899,0.927567,0.960148,NS,Concordant Down
DAD1,0.0483,0.049,0.993551,0.992642,0.999999,NS,Concordant Up
TRMT112,0.0159,-0.0811,0.99949,0.979166,0.983534,NS,HR↑ LR↓
PAK2,-0.021,0.0736,0.997914,0.966679,0.964968,NS,HR↓ LR↑
CCT3,-0.0252,0.0693,0.997339,0.974622,0.969635,NS,HR↓ LR↑
CAPN1,-0.0938,3e-4,0.933415,0.999999,0.951784,NS,HR↓ LR↑
PAFAH1B1,0.0549,-0.0388,0.983381,0.990605,0.962487,NS,HR↑ LR↓
SNTB1,0.0575,0.0356,0.991771,0.996422,0.999134,NS,Concordant Up
COPS5,-0.0355,-0.0566,0.993518,0.979864,0.998353,NS,Concordant Down
ANXA7,0.0827,0.0085,0.947271,0.999467,0.96981,NS,Concordant Up
GLRX,-0.0594,-0.0309,0.989573,0.996832,0.998267,NS,Concordant Down
PSMD1,0.0124,-0.076,0.999289,0.96473,0.969946,NS,HR↑ LR↓
TRIM72,4e-4,-0.0845,0.999999,0.95075,0.969448,NS,HR↑ LR↓
CSE1L,0.0554,0.0293,0.982561,0.994601,0.9973,NS,Concordant Up
NIT2,0.0652,-0.0194,0.983201,0.998393,0.978718,NS,HR↑ LR↓
PFKFB2,-0.0431,-0.04,0.996874,0.996976,0.999988,NS,Concordant Down
ACYP2,0.0571,0.0257,0.987137,0.997115,0.997211,NS,Concordant Up
CAB39,-0.0318,-0.0485,0.995728,0.987992,0.999132,NS,Concordant Down
RAB7A,-0.0142,-0.0654,0.998819,0.966749,0.987744,NS,Concordant Down
STIP1,-0.0775,5e-4,0.961589,0.999999,0.97175,NS,HR↓ LR↑
RAB5B,-0.0748,0.003,0.989201,0.999979,0.990974,NS,HR↓ LR↑
PSMA2,0.0689,-0.0088,0.984341,0.999726,0.985148,NS,HR↑ LR↓
PPP1CA,0.0308,-0.0442,0.994612,0.986536,0.974463,NS,HR↑ LR↓
COX7A2,0.0192,-0.0551,0.998879,0.988688,0.986691,NS,HR↑ LR↓
FKBP4,0.0551,-0.0179,0.988915,0.99872,0.985327,NS,HR↑ LR↓
TMED1,-0.041,-0.0294,0.996305,0.99763,0.999776,NS,Concordant Down
XPNPEP1,-0.0139,-0.0565,0.999441,0.989004,0.995992,NS,Concordant Down
EIF3J,-0.0572,-0.0127,0.984196,0.999172,0.993076,NS,Concordant Down
NAPRT,0.0187,-0.0492,0.999104,0.992404,0.990678,NS,HR↑ LR↓
NUTF2,0.0085,-0.0586,0.999677,0.980052,0.983443,NS,HR↑ LR↓
CAPZB,0.0397,-0.0258,0.994962,0.997581,0.989522,NS,HR↑ LR↓
MOB2,-0.034,0.0309,0.997001,0.997434,0.992028,NS,HR↓ LR↑
GLO1,0.0499,0.0144,0.987591,0.998882,0.995466,NS,Concordant Up
PCMT1,0.0253,-0.0382,0.995516,0.987493,0.97727,NS,HR↑ LR↓
IMPA2,-0.0314,-0.0296,0.997111,0.997033,0.999993,NS,Concordant Down
UTRN,-0.0386,-0.0197,0.996355,0.998867,0.999346,NS,Concordant Down
FDPS,0.0056,-0.0518,0.999851,0.983254,0.987013,NS,HR↑ LR↓
RAB24,0.0216,-0.0342,0.999026,0.996744,0.994738,NS,HR↑ LR↓
UBE2N,0.0415,-0.0138,0.988306,0.998604,0.984316,NS,HR↑ LR↓
LRPAP1,-0.0116,0.0406,0.999763,0.9966,0.996307,NS,HR↓ LR↑
LRPPRC,-0.029,-0.0213,0.994429,0.99656,0.999724,NS,Concordant Down
DCXR,-0.0073,0.0416,0.999813,0.992471,0.993316,NS,HR↓ LR↑
PEBP1,-0.0191,-0.0287,0.997962,0.994503,0.999623,NS,Concordant Down
ABHD14B,-0.0438,-0.0033,0.990854,0.999944,0.994242,NS,Concordant Down
ERAP1,-0.0309,0.0158,0.99768,0.999332,0.996035,NS,HR↓ LR↑
SPRYD4,-0.0108,0.0319,0.999584,0.995655,0.994937,NS,HR↓ LR↑
TUBB4B,0.0346,0.0061,0.993901,0.999796,0.996953,NS,Concordant Up
ENO1,0.0073,0.0316,0.999698,0.992972,0.997404,NS,Concordant Up
PSMA5,0.0105,0.0278,0.999299,0.993919,0.998534,NS,Concordant Up
MYH4,-0.0265,-0.0114,0.999218,0.99983,0.999807,NS,Concordant Down
VDAC3,0.0027,-0.0305,0.999969,0.995097,0.996274,NS,HR↑ LR↓
HSPA9,-0.0033,0.028,0.999939,0.994359,0.995506,NS,HR↓ LR↑
RPS12,0.0106,-0.02,0.999572,0.998199,0.997242,NS,HR↑ LR↓
NDUFS2,-0.011,-0.0134,0.999513,0.999155,0.999982,NS,Concordant Down
PSMD12,-0.003,0.0204,0.999952,0.997312,0.997719,NS,HR↓ LR↑
BCL2L13,-0.0025,-0.0196,0.999971,0.997908,0.998983,NS,Concordant Down
PHB2,-0.0083,-0.0031,0.999618,0.999939,0.999888,NS,Concordant Down
LTF,5.093,4.4961,0,0,0.89721,Sig Both,Concordant Up
S100A8,4.1121,5.0584,0,0,0.330599,Sig Both,Concordant Up
LYZ,2.4493,3.4511,4e-5,0,0.470943,Sig Both,Concordant Up
RRAD,2.2779,1.2025,0,0.006962,0.161413,Sig Both,Concordant Up
ARHGDIB,2.0006,1.4331,2e-4,0.004929,0.719908,Sig Both,Concordant Up
IGKV3-11,1.0251,1.8769,0.015812,0,0.184446,Sig Both,Concordant Up
HBB,0.9969,1.694,0.025767,0,0.355736,Sig Both,Concordant Up
IGKV3-15,1.0965,1.5803,0.011826,1e-6,0.651978,Sig Both,Concordant Up
IGHG1,0.8863,1.6637,0.046805,0,0.225841,Sig Both,Concordant Up
TCAP,0.9968,1.1982,0.013406,2.15e-4,0.929151,Sig Both,Concordant Up
APMAP,1.1528,0.9485,8.53e-4,0.005677,0.920001,Sig Both,Concordant Up
FN1,1.0143,1.0109,0.017406,0.009416,0.999984,Sig Both,Concordant Up
ALB,0.8811,1.1018,0.025077,3.49e-4,0.904294,Sig Both,Concordant Up
PNPT1,-0.8902,-1.0688,0.010966,3.7e-5,0.925225,Sig Both,Concordant Down
SH3BGRL3,1.0395,0.8896,0.03532,0.048091,0.969469,Sig Both,Concordant Up
HNRNPA3,1.0895,0.8283,0.008188,0.034502,0.88381,Sig Both,Concordant Up
CAP1,0.8462,0.9608,0.038641,0.003977,0.975821,Sig Both,Concordant Up
AZGP1,0.8695,0.8318,0.047453,0.034134,0.997726,Sig Both,Concordant Up
CD81,-0.9045,-0.7778,0.043721,0.044166,0.973049,Sig Both,Concordant Down
HNRNPR,0.807,0.6403,0.001078,0.008499,0.898968,Sig Both,Concordant Up
NPM1,0.7278,0.6461,0.029377,0.038803,0.983271,Sig Both,Concordant Up
